width,height,encoded_fps,frame_count_header,opencv_reported_fourcc,riff_stream_handler,backend,decoded_frames,duration_s,header_duration_s,metadata_consistent,color_format,decoded_shape,sample,path,sha256,codec_container,channel_orientation,historical_profile_width_um,historical_implied_height_px,roi_assessment
224,82,5.0,1598,FMP4,XVID,FFMPEG,1598,319.6,319.6,True,"OpenCV uint8 BGR, 3 channels","(1598, 82, 224, 3)",control,data/Full_analysis/70um500s-01122022143625-0000_resized-0p5x_rotate_2_croppedroi.avi,40f1bb0b9d912b99e6c1d0363056b6adf713a4da48ccf8bd72f2ee21d5c91304,XVID/AVI (OpenCV reports FMP4),horizontal (width > height; visible channel long axis),71.75,82.0,video dimensions equal archived analyzed profile height; prepared video is already cropped ROI
194,74,5.0,1605,FMP4,XVID,FFMPEG,1605,321.0,321.0,True,"OpenCV uint8 BGR, 3 channels","(1605, 74, 194, 3)",sepsis,data/Full_analysis/sepsis 500.avi,e1cb872f5c16454550a8ea43668634ba5904d9ad365e727336bbc96d9d21aba5,XVID/AVI (OpenCV reports FMP4),horizontal (width > height; visible channel long axis),64.75,74.0,video dimensions equal archived analyzed profile height; prepared video is already cropped ROI
